"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04082","Neuroactive ligand signaling","2/68","119/4955",0.0168067226890756,1.22466633712308,0.292603574573232,0.489509399023937,0.782862940890526,0.677782303231287,"Gabrg2/Slc17a7",2
"Organismal Systems","Endocrine system","mmu04918","Thyroid hormone synthesis","1/68","50/4955",0.02,1.45735294117647,0.383378947344695,0.500621385380317,0.782862940890526,0.677782303231287,"Hspa5",1
"Cellular Processes","Cell motility","mmu04814","Motor proteins","2/68","123/4955",0.016260162601626,1.18483978957437,0.244847597124693,0.507165380248325,0.782862940890526,0.677782303231287,"Tubb2a/Tpm4",2
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","1/68","51/4955",0.0196078431372549,1.42877739331027,0.363038784922436,0.507544473207868,0.782862940890526,0.677782303231287,"Tubb2a",1
"Organismal Systems","Digestive system","mmu04976","Bile secretion","1/68","52/4955",0.0192307692307692,1.40130090497738,0.343124834464042,0.514372975618525,0.782862940890526,0.677782303231287,"Sctr",1
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","1/68","53/4955",0.0188679245283019,1.37486126526082,0.323618347584999,0.521108165840418,0.782862940890526,0.677782303231287,"H2-DMb1",1
"Genetic Information Processing","Translation","mmu03015","mRNA surveillance pathway","1/68","54/4955",0.0185185185185185,1.34940087145969,0.304501755299095,0.527751300218805,0.782862940890526,0.677782303231287,"Rnps1",1
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","1/68","54/4955",0.0185185185185185,1.34940087145969,0.304501755299095,0.527751300218805,0.782862940890526,0.677782303231287,"Mlycd",1
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","1/68","54/4955",0.0185185185185185,1.34940087145969,0.304501755299095,0.527751300218805,0.782862940890526,0.677782303231287,"C1s2",1
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","1/68","55/4955",0.0181818181818182,1.32486631016043,0.285758572976584,0.53430361843654,0.782862940890526,0.677782303231287,"Plin4",1
"Human Diseases","Substance dependence","mmu05032","Morphine addiction","1/68","55/4955",0.0181818181818182,1.32486631016043,0.285758572976584,0.53430361843654,0.782862940890526,0.677782303231287,"Gabrg2",1
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy","1/68","56/4955",0.0178571428571429,1.30120798319328,0.267373314559834,0.540766343731707,0.782862940890526,0.677782303231287,"Tpm4",1
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/68","57/4955",0.0175438596491228,1.27837977296182,0.249331414985529,0.547140683112446,0.782862940890526,0.677782303231287,"Fos",1
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","1/68","58/4955",0.0172413793103448,1.25633874239351,0.231619159898072,0.553427827569031,0.782862940890526,0.677782303231287,"Thbs1",1
"Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer","1/68","58/4955",0.0172413793103448,1.25633874239351,0.231619159898072,0.553427827569031,0.782862940890526,0.677782303231287,"Fos",1
"Organismal Systems","Nervous system","mmu04727","GABAergic synapse","1/68","60/4955",0.0166666666666667,1.21446078431373,0.197132602324399,0.565745216834827,0.782862940890526,0.677782303231287,"Gabrg2",1
"Genetic Information Processing","Translation","mmu03010","Ribosome","2/68","138/4955",0.0144927536231884,1.05605285592498,0.0787698925508949,0.569828758705529,0.782862940890526,0.677782303231287,"Rpsa/Rpl21",2
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","1/68","61/4955",0.0163934426229508,1.19455159112825,0.180334578861606,0.571777765405865,0.782862940890526,0.677782303231287,"Fos",1
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","1/68","62/4955",0.0161290322580645,1.17528462998102,0.163818656923516,0.577727726981754,0.782862940890526,0.677782303231287,"Tpm4",1
"Environmental Information Processing","Signal transduction","mmu04015","Rap1 signaling pathway","2/68","141/4955",0.0141843971631206,1.03358364622445,0.0477194739728251,0.5816680293407,0.782862940890526,0.677782303231287,"Thbs1/Ngf",2
NA,NA,"mmu04382","Cornified envelope formation","2/68","142/4955",0.0140845070422535,1.02630488815244,0.0375131893204103,0.585562245918694,0.782862940890526,0.677782303231287,"Padi2/Krt79",2
"Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment","1/68","64/4955",0.015625,1.13855698529412,0.131592418567377,0.58938433029722,0.782862940890526,0.677782303231287,"Fos",1
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","1/68","68/4955",0.0147058823529412,1.0715830449827,0.0701059281097285,0.611754527516453,0.782862940890526,0.677782303231287,"Fos",1
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","1/68","69/4955",0.0144927536231884,1.05605285592498,0.0553040386083435,0.617156756313032,0.782862940890526,0.677782303231287,"Nr4a1",1
"Organismal Systems","Digestive system","mmu04974","Protein digestion and absorption","1/68","70/4955",0.0142857142857143,1.04096638655462,0.0407151165739376,0.622484906245639,0.782862940890526,0.677782303231287,"Col5a3",1
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","2/68","153/4955",0.0130718954248366,0.952518262206844,-0.0703675662890422,0.626668939430093,0.782862940890526,0.677782303231287,"Gdf10/Ngf",2
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","1/68","72/4955",0.0138888888888889,1.01205065359477,0.0121491187361336,0.632922959641925,0.782862940890526,0.677782303231287,"Atp6v0c",1
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway","1/68","74/4955",0.0135135135135135,0.984697933227345,-0.0156431005458942,0.643076535794353,0.782862940890526,0.677782303231287,"Notch4",1
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","1/68","74/4955",0.0135135135135135,0.984697933227345,-0.0156431005458942,0.643076535794353,0.782862940890526,0.677782303231287,"Fos",1
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","1/68","76/4955",0.0131578947368421,0.958784829721362,-0.0427080530487476,0.652953275201299,0.782862940890526,0.677782303231287,"Mlycd",1
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","1/68","76/4955",0.0131578947368421,0.958784829721362,-0.0427080530487476,0.652953275201299,0.782862940890526,0.677782303231287,"Fos",1
"Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse","1/68","76/4955",0.0131578947368421,0.958784829721362,-0.0427080530487476,0.652953275201299,0.782862940890526,0.677782303231287,"Slc17a7",1
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse","1/68","76/4955",0.0131578947368421,0.958784829721362,-0.0427080530487476,0.652953275201299,0.782862940890526,0.677782303231287,"Fos",1
"Organismal Systems","Digestive system","mmu04972","Pancreatic secretion","1/68","76/4955",0.0131578947368421,0.958784829721362,-0.0427080530487476,0.652953275201299,0.782862940890526,0.677782303231287,"Sctr",1
