"Gene","Genus","r","p_raw","p_adj","gene_dir","genus_dir"
"Uspl1","Pseudomonas",-0.218181818181818,0.519248247554982,0.962969477283785,4,1
"Selenoh","Staphylococcus",0.218181818181818,0.519248247554982,0.962969477283785,4,1
"Psme2","Alloprevotella",-0.218181818181818,0.519248247554982,0.962969477283785,2,-1
"Nusap1","Prevotellaceae_UCG-001",0.218181818181818,0.519248247554982,0.962969477283785,4,-1
"Ifit1","Prevotellaceae_UCG-001",0.218181818181818,0.519248247554982,0.962969477283785,4,-1
"Pmaip1","Bacteroides",0.218181818181818,0.519248247554982,0.962969477283785,4,-1
"Chordc1","Enterococcus",-0.218181818181818,0.519248247554982,0.962969477283785,4,1
"Ifit1bl1","Romboutsia",-0.209090909090909,0.537220935211323,0.965577716150748,4,1
"Nnat","Romboutsia",-0.209090909090909,0.537220935211323,0.965577716150748,2,1
"Ifi203","Brevibacillus",-0.209090909090909,0.537220935211323,0.965577716150748,4,-1
"Pbk","Pseudomonas",-0.209090909090909,0.537220935211323,0.965577716150748,4,1
"Chordc1","Staphylococcus",-0.209090909090909,0.537220935211323,0.965577716150748,4,1
"Cmah","Prevotellaceae_UCG-001",0.209090909090909,0.537220935211323,0.965577716150748,4,-1
"Psme2","Bacteroides",0.209090909090909,0.537220935211323,0.965577716150748,2,-1
"Uspl1","Romboutsia",0.2,0.555445442105585,0.981046495147528,4,1
"Hmgn2","Brevibacillus",-0.2,0.555445442105585,0.981046495147528,4,-1
"Uspl1","Geobacillus",0.2,0.555445442105585,0.981046495147528,4,-1
"Psme2","Enterococcus",0.2,0.555445442105585,0.981046495147528,2,1
"Oas1g","Alloprevotella",0.191344459982846,0.573023323688132,0.982302948232868,4,-1
"Ncapg","Brevibacillus",-0.190909090909091,0.573913168285521,0.982302948232868,4,-1
"Nnat","Alloprevotella",-0.190909090909091,0.573913168285521,0.982302948232868,2,-1
"Nnat","Prevotellaceae_UCG-001",0.190909090909091,0.573913168285521,0.982302948232868,2,-1
"Hmgn2","Bacteroides",0.190909090909091,0.573913168285521,0.982302948232868,4,-1
"Csn3","Staphylococcus",0.186788639507064,0.582361374840651,0.982302948232868,2,1
"Psme2","Romboutsia",-0.181818181818182,0.5926152128455,0.982302948232868,2,1
"Ifitm1","Ralstonia",-0.181818181818182,0.5926152128455,0.982302948232868,4,1
"Nusap1","Pseudomonas",-0.181818181818182,0.5926152128455,0.982302948232868,4,1
"Pbk","Prevotellaceae_UCG-001",0.181818181818182,0.5926152128455,0.982302948232868,4,-1
"Krt79","Corynebacterium",-0.181818181818182,0.5926152128455,0.982302948232868,2,1
"Ifi203","Enterococcus",-0.181818181818182,0.5926152128455,0.982302948232868,4,1
"Sctr","Pseudomonas",0.1776769985555,0.601209755608777,0.982302948232868,2,1
"Cmah","Brevibacillus",-0.172727272727273,0.611542384851237,0.982302948232868,4,-1
