"Gene","Genus","r","p_raw","p_adj","gene_dir","genus_dir"
"Scoc","Bacteroides",0.490909090909091,0.125204407138495,0.905240566315289,4,-1
"Apold1","Corynebacterium",-0.490909090909091,0.125204407138495,0.905240566315289,4,1
"Svs2","Brevibacillus",0.486258996264143,0.129372166165111,0.905240566315289,2,-1
"Syn2","Bacteroides",-0.482916970432897,0.132421426617676,0.905240566315289,2,-1
"Rpusd4","Pseudomonas",0.481818181818182,0.133433838256829,0.905240566315289,2,1
"Ifi44","Streptococcus",-0.481818181818182,0.133433838256829,0.905240566315289,4,1
"Apold1","Enterococcus",-0.481818181818182,0.133433838256829,0.905240566315289,4,1
"Syn2","Corynebacterium",0.478361149957115,0.136651082823611,0.905240566315289,2,1
"Syn2","Geobacillus",0.473805329481333,0.140965242606661,0.905240566315289,2,-1
"Gbp2","Streptococcus",-0.472727272727273,0.14199852020632,0.905240566315289,4,1
"Ifitm1","Alloprevotella",0.472727272727273,0.14199852020632,0.905240566315289,4,-1
"Uspl1","Corynebacterium",-0.472727272727273,0.14199852020632,0.905240566315289,4,1
"Krt79","Geobacillus",-0.463636363636364,0.150901499292486,0.938117747204166,2,-1
"Svs2","Geobacillus",0.458734902135984,0.155842955629683,0.938117747204166,2,-1
"Msln","Prevotellaceae_UCG-001",0.454545454545455,0.160145437255259,0.938117747204166,2,-1
"Ifi203","Corynebacterium",-0.454545454545455,0.160145437255259,0.938117747204166,4,1
"B3galt5","Corynebacterium",0.454545454545455,0.160145437255259,0.938117747204166,2,1
"Ifit1","Bacteroides",0.445454545454545,0.169732604926812,0.938117747204166,4,-1
"Hmgn2","Corynebacterium",-0.445454545454545,0.169732604926812,0.938117747204166,4,1
"Krt79","Romboutsia",0.436363636363636,0.179664876580011,0.938117747204166,2,1
"Cmah","Alloprevotella",0.436363636363636,0.179664876580011,0.938117747204166,4,-1
"Cmah","Corynebacterium",-0.436363636363636,0.179664876580011,0.938117747204166,4,1
"Ccnb1","Streptococcus",-0.427272727272727,0.189943724965427,0.938117747204166,4,1
"Ifit1","Streptococcus",-0.427272727272727,0.189943724965427,0.938117747204166,4,1
"Ifitm1","Streptococcus",-0.427272727272727,0.189943724965427,0.938117747204166,4,1
"Ifi44","Alloprevotella",0.427272727272727,0.189943724965427,0.938117747204166,4,-1
"Selenoh","Enterococcus",0.427272727272727,0.189943724965427,0.938117747204166,4,1
"Nnat","Corynebacterium",0.418181818181818,0.200570217034051,0.938117747204166,2,1
"Ifit1","Brevibacillus",-0.409090909090909,0.211545010342096,0.938117747204166,4,-1
"Irgm2","Streptococcus",-0.409090909090909,0.211545010342096,0.938117747204166,4,1
"Nusap1","Corynebacterium",-0.409090909090909,0.211545010342096,0.938117747204166,4,1
"Pmaip1","Enterococcus",-0.409090909090909,0.211545010342096,0.938117747204166,4,1
"Csn3","Bacteroides",-0.405468022344603,0.216015786526008,0.938117747204166,2,-1
"Sctr","Enterococcus",0.400912201868821,0.221716410534838,0.938117747204166,2,1
"Apold1","Geobacillus",0.4,0.22286835013352,0.938117747204166,4,-1
"Cmah","Streptococcus",-0.4,0.22286835013352,0.938117747204166,4,1
"Ifi203","Alloprevotella",0.4,0.22286835013352,0.938117747204166,4,-1
"Ifit1","Alloprevotella",0.4,0.22286835013352,0.938117747204166,4,-1
"Ifit1bl1","Corynebacterium",-0.4,0.22286835013352,0.938117747204166,4,1
"Svs2","Alloprevotella",-0.394512015836946,0.229872665269097,0.938117747204166,2,-1
"Csn3","Brevibacillus",0.391800560917256,0.233380125668916,0.938117747204166,2,-1
"Ifitm1","Staphylococcus",-0.390909090909091,0.234540067095194,0.938117747204166,4,1
"Krt79","Alloprevotella",-0.390909090909091,0.234540067095194,0.938117747204166,2,-1
"Csn3","Alloprevotella",-0.387244740441474,0.239343079848027,0.938117747204166,2,-1
"Scoc","Brevibacillus",-0.381818181818182,0.24655957577897,0.938117747204166,4,-1
"Thbs1","Geobacillus",0.381818181818182,0.24655957577897,0.938117747204166,4,-1
"Msln","Pseudomonas",0.381818181818182,0.24655957577897,0.938117747204166,2,1
"Scoc","Alloprevotella",0.381818181818182,0.24655957577897,0.938117747204166,4,-1
"Ifi203","Bacteroides",0.381818181818182,0.24655957577897,0.938117747204166,4,-1
"Ifitm1","Enterococcus",-0.381818181818182,0.24655957577897,0.938117747204166,4,1
"Arc","Geobacillus",0.372727272727273,0.258925873684222,0.938117747204166,4,-1
"Ifit1bl1","Streptococcus",-0.372727272727273,0.258925873684222,0.938117747204166,4,1
"Svs2","Streptococcus",0.366987921708787,0.266911027331621,0.938117747204166,2,1
"Psme2","Ralstonia",0.363636363636364,0.271637540993823,0.938117747204166,2,1
"Krt79","Streptococcus",0.363636363636364,0.271637540993823,0.938117747204166,2,1
