"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRPL20",1.47117413463453e-18,0.223385208149429,0.774,0.611,2.94234826926906e-14
"RPS7",4.12142577525973e-19,0.223106971392889,0.999,0.996,8.24285155051947e-15
"CORO1B",4.15329017989319e-19,0.223042974733854,0.739,0.568,8.30658035978639e-15
"NUCKS1",3.43379305796573e-17,0.22293008113368,0.688,0.529,6.86758611593146e-13
"RPS3A",5.41045833774114e-19,0.22280286182191,0.998,0.994,1.08209166754823e-14
"GTF3C6",3.85628109368299e-20,0.22244329328104,0.775,0.609,7.71256218736598e-16
"RPS8",1.89855128863068e-18,0.22228821212229,0.999,0.994,3.79710257726136e-14
"SRI",4.3616279626301e-21,0.221385921684104,0.66,0.477,8.7232559252602e-17
"CCT8",1.04143075836926e-24,0.221364439413486,0.639,0.441,2.08286151673852e-20
"MRPS34",1.38262661036184e-23,0.220625946247603,0.571,0.385,2.76525322072368e-19
"XRCC6",7.5956614196184e-22,0.220227957595984,0.717,0.534,1.51913228392368e-17
"LAMTOR1",5.80409382591318e-19,0.219775023345868,0.866,0.723,1.16081876518264e-14
"NACA",1.77507756548885e-23,0.219137898853716,0.995,0.978,3.55015513097769e-19
"ERP29",4.15360374283353e-17,0.218637405871025,0.82,0.677,8.30720748566707e-13
"MZT2A",1.13879419961054e-16,0.218462270517075,0.66,0.5,2.27758839922109e-12
"PSMC4",7.19483824953514e-18,0.218281934961508,0.61,0.45,1.43896764990703e-13
"PPM1G",2.58711422858828e-26,0.218141065764335,0.554,0.353,5.17422845717656e-22
"DCXR",7.85851805173969e-24,0.218122470600865,0.626,0.428,1.57170361034794e-19
"AKR1A1",3.63414136629517e-16,0.218057806067908,0.81,0.653,7.26828273259034e-12
"ATP5H",5.1679862663046e-20,0.217627668997476,0.921,0.814,1.03359725326092e-15
"MRPS7",1.38601733814426e-27,0.217007995828982,0.591,0.384,2.77203467628852e-23
