"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NT5C",6.45703643754458e-16,0.130928864255883,0.524,0.354,1.29140728750892e-11
"DNAJC9",6.3442385348587e-17,0.130812703573982,0.271,0.148,1.26884770697174e-12
"CAT",2.40749017341068e-15,0.130788392380386,0.446,0.295,4.81498034682135e-11
"SUCLG1",1.40115315988443e-15,0.13075427404276,0.497,0.334,2.80230631976885e-11
"MAPKAPK3",2.00672845669763e-14,0.130467949971105,0.502,0.348,4.01345691339526e-10
"AHCY",1.28745235002849e-17,0.13009433289949,0.422,0.266,2.57490470005699e-13
"CCT4",1.70555621402032e-13,0.130029162150626,0.631,0.471,3.41111242804064e-09
"ZPR1",3.84506348855083e-21,0.129963171382438,0.367,0.205,7.69012697710166e-17
"NDUFC1",1.03370434463907e-13,0.129649642828567,0.618,0.455,2.06740868927814e-09
"POLR3K",6.17459342582487e-18,0.129286941658953,0.31,0.174,1.23491868516497e-13
"NDUFA5",2.55773823236204e-13,0.129225306646426,0.532,0.378,5.11547646472407e-09
"GRHPR",3.3702928111126e-14,0.129105045337175,0.495,0.344,6.74058562222521e-10
"HADHA",5.14570543702956e-14,0.128657921839296,0.625,0.455,1.02914108740591e-09
"SNX20",1.19226051128679e-16,0.128261962507611,0.322,0.186,2.38452102257359e-12
"SLC35B1",1.21974512312012e-15,0.128182905251181,0.495,0.33,2.43949024624025e-11
"ACAP1",1.18800896271572e-13,0.127893176230876,0.357,0.225,2.37601792543144e-09
"APOA1BP",1.34211575943062e-15,0.1276176568217,0.527,0.358,2.68423151886123e-11
"SNRNP70",4.51939232488005e-14,0.127552151838322,0.56,0.399,9.0387846497601e-10
"CCDC167",1.81325331316086e-16,0.127541479849216,0.405,0.253,3.62650662632172e-12
"HNRNPD",9.42806213734414e-13,0.127517494663076,0.589,0.428,1.88561242746883e-08
"OXA1L",2.34504048158705e-13,0.127395718253608,0.583,0.424,4.69008096317411e-09
"SMARCB1",2.4232878668746e-17,0.127201593459635,0.458,0.293,4.8465757337492e-13
"COA4",1.38271324854783e-16,0.127120733088158,0.468,0.307,2.76542649709565e-12
"MRPS25",5.732729443941e-18,0.127069120197659,0.402,0.244,1.1465458887882e-13
"GYG1",6.01911383184866e-17,0.127018708477826,0.425,0.262,1.20382276636973e-12
"SYNCRIP",6.66370796610832e-15,0.127010176707299,0.499,0.344,1.33274159322166e-10
"TMC6",5.27024054781758e-13,0.126837703788003,0.484,0.34,1.05404810956352e-08
"PARL",4.88734632543179e-16,0.126726816281151,0.549,0.369,9.77469265086358e-12
"NDUFA10",1.82486890287984e-17,0.126712946379329,0.561,0.369,3.64973780575968e-13
"RNF126",2.7662072145806e-18,0.126695122404676,0.399,0.24,5.5324144291612e-14
"MIF4GD",8.38909463065066e-14,0.126674087324361,0.548,0.383,1.67781892613013e-09
