#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV30	10.0	17.0	53.0	0.0	7.0	6.0	8.0	38.0	19.0	3.0	6.0	0.0	41.0	0.0	82.0	7726.0	102.0	0.0	1391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	41.0	91.0	133.0	0.0	0.0	81.0	0.0	3.0	0.0	26.0	80.0	0.0	11.0	0.0	117.0	736.0	1584.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus_Arthromitus; s__Candidatus_Arthromitus
ASV31	101.0	241.0	204.0	398.0	264.0	257.0	492.0	168.0	20.0	627.0	201.0	1167.0	48.0	27.0	0.0	2.0	0.0	0.0	0.0	70.0	19.0	13.0	150.0	113.0	110.0	89.0	338.0	66.0	120.0	26.0	188.0	133.0	67.0	32.0	85.0	730.0	435.0	23.0	8.0	109.0	207.0	14.0	12.0	139.0	3521.0	665.0	501.0	k__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium
ASV32	69.0	40.0	62.0	42.0	37.0	7629.0	85.0	0.0	0.0	52.0	214.0	88.0	21.0	0.0	25.0	0.0	37.0	157.0	0.0	244.0	13.0	0.0	0.0	154.0	2.0	6.0	0.0	288.0	49.0	11.0	175.0	104.0	195.0	200.0	106.0	0.0	5.0	128.0	181.0	514.0	0.0	436.0	233.0	51.0	90.0	54.0	0.0	k__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia
ASV33	0.0	0.0	0.0	111.0	0.0	0.0	0.0	81.0	108.0	0.0	0.0	201.0	103.0	165.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	44.0	310.0	229.0	90.0	105.0	3365.0	31.0	0.0	1697.0	163.0	0.0	35.0	6.0	0.0	3391.0	0.0	87.0	0.0	0.0	353.0	21.0	33.0	0.0	0.0	0.0	925.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Rodentibacter
ASV34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	183.0	195.0	202.0	44.0	48.0	267.0	23.0	1075.0	889.0	357.0	1045.0	392.0	198.0	462.0	118.0	1197.0	0.0	439.0	141.0	149.0	579.0	178.0	86.0	94.0	77.0	655.0	228.0	18.0	104.0	656.0	225.0	529.0	67.0	379.0	263.0	k__Bacteria
ASV35	87.0	0.0	651.0	52.0	662.0	59.0	1261.0	2857.0	1547.0	37.0	47.0	930.0	0.0	0.0	130.0	77.0	226.0	0.0	66.0	0.0	0.0	0.0	0.0	68.0	49.0	121.0	133.0	50.0	0.0	1589.0	47.0	0.0	0.0	0.0	0.0	371.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	49.0	150.0	35.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
ASV36	855.0	677.0	1187.0	316.0	332.0	189.0	210.0	1210.0	325.0	962.0	284.0	489.0	30.0	0.0	91.0	42.0	66.0	24.0	46.0	0.0	35.0	0.0	9.0	0.0	81.0	93.0	109.0	53.0	0.0	0.0	0.0	413.0	0.0	0.0	2006.0	80.0	869.0	6.0	0.0	41.0	0.0	31.0	32.0	0.0	75.0	84.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10725.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	22.0	2.0	0.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Methyloversatilis
ASV38	327.0	155.0	833.0	501.0	367.0	251.0	811.0	585.0	748.0	731.0	652.0	777.0	21.0	4.0	164.0	47.0	210.0	99.0	61.0	285.0	15.0	0.0	0.0	65.0	59.0	80.0	84.0	52.0	21.0	22.0	23.0	143.0	18.0	0.0	524.0	126.0	286.0	0.0	0.0	604.0	0.0	0.0	19.0	121.0	55.0	267.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV39	126.0	42.0	131.0	94.0	540.0	94.0	3737.0	2105.0	88.0	97.0	85.0	347.0	75.0	55.0	296.0	115.0	238.0	80.0	105.0	0.0	0.0	0.0	0.0	47.0	53.0	124.0	92.0	80.0	0.0	27.0	18.0	0.0	0.0	0.0	7.0	99.0	0.0	0.0	7.0	8.0	0.0	0.0	87.0	0.0	85.0	261.0	0.0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
