#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5958	0	0	16	0	0	0	0	0	1	0	0	0	0	0	12	1	0	1	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Methyloversatilis
ASV38	183	84	476	280	234	142	479	305	377	461	335	448	8	1	80	25	99	57	29	158	6	0	0	42	28	44	48	28	12	12	12	70	9	0	270	64	122	0	0	293	0	0	10	63	25	144	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV39	71	23	74	52	348	54	2203	1099	44	61	43	201	31	24	145	61	112	46	52	0	0	0	0	29	25	69	53	44	0	14	9	0	0	0	4	52	0	0	4	3	0	0	47	0	38	141	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV40	14	3	13	20	10	72	9	2	3	181	15	17	11	0	4	8	6	126	0	67	13	51	3	11	3	11	6	70	147	3	38	255	50	97	1430	2	1222	9	57	235	0	46	28	117	83	40	2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalibaculum; s__
ASV41	69	104	89	59	87	945	101	36	22	492	135	863	5	0	31	18	110	472	20	294	11	0	7	40	0	0	7	13	86	9	10	26	0	27	65	41	115	0	0	182	0	47	13	180	16	95	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV42	774	367	96	397	150	68	78	215	72	244	251	301	18	0	15	52	26	10	67	0	16	10	0	13	31	69	47	6	0	0	8	356	0	10	179	46	455	0	5	12	0	0	0	39	67	34	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__
ASV43	481	166	116	169	374	47	93	820	208	44	39	290	12	0	78	256	103	0	353	0	0	0	0	18	18	83	75	8	0	6	64	44	0	4	72	58	41	0	0	10	0	0	0	14	311	59	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__
ASV44	0	0	221	0	71	0	235	71	90	0	0	95	0	0	438	990	459	55	378	0	0	0	0	0	0	0	41	0	407	0	90	34	0	0	0	36	0	0	0	0	0	0	0	29	233	376	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
ASV45	35	88	25	66	96	70	40	0	0	37	813	58	35	0	0	0	0	594	0	68	13	0	10	0	53	0	0	0	0	12	0	250	18	44	55	0	102	0	0	1394	0	0	0	207	30	38	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group
ASV46	600	335	131	550	187	152	106	126	185	303	386	118	16	3	15	8	10	55	13	38	0	6	0	17	18	47	61	6	126	1	3	89	2	15	344	14	158	0	1	90	0	0	9	32	11	55	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
