"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0101002","CC","GO:0101002","ficolin-1-rich granule","5/79","185/19869",0.000855990409069114,0.00947296052703153,0.00792917431558758,"FTH1/TNFAIP6/FCN1/CFD/SLC11A1",5
"GO:1905286","CC","GO:1905286","serine-type peptidase complex","2/79","13/19869",0.00118343453912269,0.0122781333433979,0.0102771946818549,"FCN1/PLAUR",2
"GO:1904724","CC","GO:1904724","tertiary granule lumen","3/79","55/19869",0.00136771906880276,0.0133553744365446,0.0111788803146727,"FTH1/TNFAIP6/CXCL1",3
"GO:1904813","CC","GO:1904813","ficolin-1-rich granule lumen","4/79","124/19869",0.00151320895235784,0.0139551492273001,0.0116809112111833,"FTH1/TNFAIP6/FCN1/CFD",4
"GO:0031093","CC","GO:0031093","platelet alpha granule lumen","3/79","67/19869",0.00241355237279879,0.0210868259939263,0.0176503553024621,"TIMP1/THBS1/CFD",3
"GO:0070821","CC","GO:0070821","tertiary granule membrane","3/79","73/19869",0.00308055699252975,0.0255686230379969,0.021401764369154,"MCEMP1/SLC11A1/OLR1",3
"GO:0031091","CC","GO:0031091","platelet alpha granule","3/79","91/19869",0.00571750095986516,0.0451954837779817,0.0378300815389574,"TIMP1/THBS1/CFD",3
"GO:0005125","MF","GO:0005125","cytokine activity","17/78","237/18432",1.26088713588949e-16,2.87482266982803e-14,2.40232180627365e-14,"TIMP1/CCL18/CXCL5/CCL3L3/CCL20/IL1RN/CCL3/CXCL8/INHBA/CXCL2/CXCL3/IL1B/NAMPT/CXCL1/IL6/CCL4/IL1A",17
"GO:0008009","MF","GO:0008009","chemokine activity","10/78","49/18432",7.28936762828549e-15,8.30987909624546e-13,6.94408179326144e-13,"CCL18/CXCL5/CCL3L3/CCL20/CCL3/CXCL8/CXCL2/CXCL3/CXCL1/CCL4",10
"GO:0042379","MF","GO:0042379","chemokine receptor binding","10/78","71/18432",3.80346349709031e-13,2.89063225778864e-11,2.41553295780122e-11,"CCL18/CXCL5/CCL3L3/CCL20/CCL3/CXCL8/CXCL2/CXCL3/CXCL1/CCL4",10
"GO:0048018","MF","GO:0048018","receptor ligand activity","18/78","491/18432",1.62834309054188e-12,9.2815556160887e-11,7.75605524705473e-11,"TIMP1/CCL18/CXCL5/CCL3L3/CCL20/IL1RN/CCL3/CXCL8/EREG/INHBA/CXCL2/CXCL3/IL1B/NAMPT/CXCL1/IL6/CCL4/IL1A",18
"GO:0030546","MF","GO:0030546","signaling receptor activator activity","18/78","498/18432",2.0642584358205e-12,9.41301846734146e-11,7.86591109228441e-11,"TIMP1/CCL18/CXCL5/CCL3L3/CCL20/IL1RN/CCL3/CXCL8/EREG/INHBA/CXCL2/CXCL3/IL1B/NAMPT/CXCL1/IL6/CCL4/IL1A",18
