"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Staphylococcus","DB_Control - WT_Control","WT_Control","Dunn",0.2255,"r (|Z|/sqrt(N))",-0.6765,0.498735035366122,1,"ns"
"Prevotella","DB_Control - DB_Treated","DB_Treated","Dunn",0.2177,"r (|Z|/sqrt(N))",-0.6532,0.513629113393124,0.770443670089686,"ns"
"Geobacillus","DB_Treated - WT_Control","DB_Treated","Dunn",0.2177,"r (|Z|/sqrt(N))",0.6532,0.513629113393124,0.513629113393124,"ns"
"Burkholderia-Caballeronia-Paraburkholderia","DB_Treated - WT_Control","DB_Treated","Dunn",0.2177,"r (|Z|/sqrt(N))",0.6532,0.513629113393124,0.513629113393124,"ns"
"Agrococcus","DB_Treated - WT_Control","WT_Control","Dunn",0.2177,"r (|Z|/sqrt(N))",-0.6532,0.513629113393124,0.513629113393124,"ns"
"Sphingomonas","DB_Control - DB_Treated","DB_Control","Dunn",0.2085,"r (|Z|/sqrt(N))",0.6256,0.531544857238088,0.531544857238088,"ns"
"Brevundimonas","DB_Control - DB_Treated","DB_Treated","Dunn",0.203,"r (|Z|/sqrt(N))",-0.6091,0.542451801360671,0.542451801360671,"ns"
"Brevundimonas","DB_Control - WT_Control","DB_Control","Dunn",0.203,"r (|Z|/sqrt(N))",0.6091,0.542451801360671,0.813677702041006,"ns"
"Desulfovibrio","DB_Control - WT_Control","WT_Control","Dunn",0.2022,"r (|Z|/sqrt(N))",-0.6065,0.544197098267807,0.81629564740171,"ns"
"Muribaculum","DB_Treated - WT_Control","WT_Control","Dunn",0.2022,"r (|Z|/sqrt(N))",-0.6065,0.544197098267806,0.544197098267806,"ns"
"Brevibacillus","DB_Control - WT_Control","WT_Control","Dunn",0.2022,"r (|Z|/sqrt(N))",-0.6065,0.544197098267807,0.544197098267807,"ns"
"Helicobacter","DB_Control - WT_Control","WT_Control","Dunn",0.2004,"r (|Z|/sqrt(N))",-0.6013,0.547628987109314,0.821443480663971,"ns"
"Enterococcus","DB_Control - WT_Control","DB_Control","Dunn",0.2004,"r (|Z|/sqrt(N))",0.6013,0.547628987109314,0.547628987109314,"ns"
"Pseudomonas","DB_Control - WT_Control","WT_Control","Dunn",0.1988,"r (|Z|/sqrt(N))",-0.5963,0.550984987585093,1,"ns"
"Ralstonia","DB_Control - WT_Control","DB_Control","Dunn",0.1988,"r (|Z|/sqrt(N))",0.5963,0.550984987585094,0.82647748137764,"ns"
"Acinetobacter","DB_Control - WT_Control","WT_Control","Dunn",0.1988,"r (|Z|/sqrt(N))",-0.5963,0.550984987585094,0.550984987585094,"ns"
"Acinetobacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.1988,"r (|Z|/sqrt(N))",0.5963,0.550984987585094,0.82647748137764,"ns"
"Clostridia_vadinBB60_group","DB_Control - DB_Treated","DB_Treated","Dunn",0.1754,"r (|Z|/sqrt(N))",-0.5262,0.598782448828712,0.898173673243068,"ns"
"Aerococcus","DB_Control - DB_Treated","DB_Treated","Dunn",0.1523,"r (|Z|/sqrt(N))",-0.4568,0.647791664829311,0.647791664829311,"ns"
"Aerococcus","DB_Control - WT_Control","DB_Control","Dunn",0.1523,"r (|Z|/sqrt(N))",0.4568,0.647791664829311,0.971687497243967,"ns"
"Dietzia","DB_Control - DB_Treated","DB_Treated","Dunn",0.1516,"r (|Z|/sqrt(N))",-0.4549,0.649210806009615,0.649210806009615,"ns"
"Dietzia","DB_Treated - WT_Control","WT_Control","Dunn",0.1516,"r (|Z|/sqrt(N))",-0.4549,0.649210806009615,0.973816209014423,"ns"
"Bifidobacterium","DB_Control - DB_Treated","DB_Treated","Dunn",0.1497,"r (|Z|/sqrt(N))",-0.4491,0.6533676621999,0.6533676621999,"ns"
"Bifidobacterium","DB_Treated - WT_Control","WT_Control","Dunn",0.1497,"r (|Z|/sqrt(N))",-0.4491,0.6533676621999,0.98005149329985,"ns"
"Lactobacillus","DB_Treated - WT_Control","DB_Treated","Dunn",0.1491,"r (|Z|/sqrt(N))",0.4472,0.654720846018577,0.654720846018577,"ns"
"Delftia","DB_Treated - WT_Control","DB_Treated","Dunn",0.1491,"r (|Z|/sqrt(N))",0.4472,0.654720846018577,0.654720846018577,"ns"
"Faecalibaculum","DB_Control - DB_Treated","DB_Treated","Dunn",0.1258,"r (|Z|/sqrt(N))",-0.3774,0.70585728718337,0.70585728718337,"ns"
"Kocuria","DB_Control - DB_Treated","DB_Control","Dunn",0.1253,"r (|Z|/sqrt(N))",-0.3758,0.707048477270219,0.707048477270219,"ns"
"Romboutsia","DB_Control - WT_Control","DB_Control","Dunn",0.1247,"r (|Z|/sqrt(N))",-0.3742,0.708225324794479,0.708225324794479,"ns"
"Romboutsia","DB_Treated - WT_Control","DB_Treated","Dunn",0.1247,"r (|Z|/sqrt(N))",0.3742,0.708225324794479,1,"ns"
"Methylobacterium-Methylorubrum","DB_Treated - WT_Control","DB_Treated","Dunn",0.1247,"r (|Z|/sqrt(N))",0.3742,0.708225324794479,0.708225324794479,"ns"
"Intestinibacter","DB_Control - DB_Treated","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",-0.3542,0.723154567082302,1,"ns"
"Blautia","DB_Control - WT_Control","DB_Control","Dunn",0.1089,"r (|Z|/sqrt(N))",0.3266,0.743971478075057,0.743971478075057,"ns"
"Candidatus_Saccharimonas","DB_Treated - WT_Control","DB_Treated","Dunn",0.1089,"r (|Z|/sqrt(N))",0.3266,0.743971478075057,0.743971478075057,"ns"
"Acidovorax","DB_Treated - WT_Control","WT_Control","Dunn",0.1089,"r (|Z|/sqrt(N))",-0.3266,0.743971478075057,0.743971478075057,"ns"
"Mangrovibacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.1038,"r (|Z|/sqrt(N))",-0.3114,0.755496874928883,0.755496874928883,"ns"
"Diaphorobacter","DB_Control - WT_Control","WT_Control","Dunn",0.1029,"r (|Z|/sqrt(N))",-0.3086,0.757620723683397,0.757620723683397,"ns"
"Lachnospiraceae_NK4A136_group","DB_Treated - WT_Control","WT_Control","Dunn",0.1011,"r (|Z|/sqrt(N))",-0.3032,0.761707563947807,0.761707563947807,"ns"
"Escherichia-Shigella","DB_Treated - WT_Control","DB_Treated","Dunn",0.1011,"r (|Z|/sqrt(N))",0.3032,0.761707563947807,0.761707563947807,"ns"
"Clostridia_vadinBB60_group","DB_Treated - WT_Control","WT_Control","Dunn",0.1002,"r (|Z|/sqrt(N))",-0.3007,0.763674985235854,0.763674985235854,"ns"
"Pseudomonas","DB_Control - DB_Treated","DB_Treated","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,0.765594483995764,"ns"
