"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Parasutterella","DB_Control - DB_Treated","DB_Treated","Dunn",0.1491,"r (|Z|/sqrt(N))",-0.4472,0.654720846018577,0.654720846018577,"ns"
"Anaerotruncus","DB_Control - WT_Control","DB_Control","Dunn",0.1491,"r (|Z|/sqrt(N))",0.4472,0.654720846018577,0.654720846018577,"ns"
"Enterorhabdus","DB_Treated - WT_Control","WT_Control","Dunn",0.1491,"r (|Z|/sqrt(N))",-0.4472,0.654720846018577,0.654720846018577,"ns"
"Actinobacillus","DB_Control - DB_Treated","DB_Control","Dunn",0.1368,"r (|Z|/sqrt(N))",0.4103,0.681582246777265,0.681582246777265,"ns"
"Actinobacillus","DB_Control - WT_Control","WT_Control","Dunn",0.1368,"r (|Z|/sqrt(N))",-0.4103,0.681582246777265,1,"ns"
"Fusobacterium","DB_Control - DB_Treated","DB_Treated","Dunn",0.1297,"r (|Z|/sqrt(N))",-0.3892,0.697091610005963,1,"ns"
"Eubacterium_xylanophilum_group","DB_Treated - WT_Control","WT_Control","Dunn",0.1247,"r (|Z|/sqrt(N))",-0.3742,0.708225324794479,0.708225324794479,"ns"
"Veillonella","DB_Control - WT_Control","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",0.3542,0.723154567082302,1,"ns"
"Rothia","DB_Control - WT_Control","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",0.3542,0.723154567082302,1,"ns"
"Gemella","DB_Control - WT_Control","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",0.3542,0.723154567082302,1,"ns"
"Campylobacter","DB_Control - WT_Control","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",0.3542,0.723154567082302,1,"ns"
"Gordonia","DB_Control - WT_Control","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",0.3542,0.723154567082302,1,"ns"
"Aggregatibacter","DB_Control - WT_Control","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",0.3542,0.723154567082302,1,"ns"
"Parvimonas","DB_Control - WT_Control","DB_Control","Dunn",0.1181,"r (|Z|/sqrt(N))",0.3542,0.723154567082302,1,"ns"
"Haemophilus","DB_Treated - WT_Control","WT_Control","Dunn",0.1094,"r (|Z|/sqrt(N))",-0.3282,0.74272720011079,1,"ns"
"Porphyromonas","DB_Treated - WT_Control","WT_Control","Dunn",0.1094,"r (|Z|/sqrt(N))",-0.3282,0.74272720011079,1,"ns"
"Dolosigranulum","DB_Treated - WT_Control","WT_Control","Dunn",0.1089,"r (|Z|/sqrt(N))",-0.3266,0.743971478075057,1,"ns"
"Stenotrophomonas","DB_Treated - WT_Control","DB_Treated","Dunn",0.1089,"r (|Z|/sqrt(N))",0.3266,0.743971478075057,0.743971478075057,"ns"
"Finegoldia","DB_Treated - WT_Control","WT_Control","Dunn",0.1089,"r (|Z|/sqrt(N))",-0.3266,0.743971478075057,1,"ns"
"Enterobacter","DB_Control - WT_Control","DB_Control","Dunn",0.1089,"r (|Z|/sqrt(N))",0.3266,0.743971478075057,0.743971478075057,"ns"
"Prevotella","DB_Control - DB_Treated","DB_Control","Dunn",0.1038,"r (|Z|/sqrt(N))",0.3114,0.755496874928883,0.755496874928883,"ns"
"Fusobacterium","DB_Treated - WT_Control","DB_Treated","Dunn",0.1038,"r (|Z|/sqrt(N))",0.3114,0.755496874928883,1,"ns"
"Faecalibacterium","DB_Treated - WT_Control","WT_Control","Dunn",0.1011,"r (|Z|/sqrt(N))",-0.3032,0.761707563947807,0.761707563947807,"ns"
"Ruminococcus_torques_group","DB_Control - DB_Treated","DB_Treated","Dunn",0.1011,"r (|Z|/sqrt(N))",-0.3032,0.761707563947807,0.761707563947807,"ns"
"Monoglobus","DB_Treated - WT_Control","DB_Treated","Dunn",0.1002,"r (|Z|/sqrt(N))",-0.3007,0.763674985235854,0.763674985235854,"ns"
"Negativibacillus","DB_Treated - WT_Control","WT_Control","Dunn",0.1002,"r (|Z|/sqrt(N))",-0.3007,0.763674985235854,0.763674985235854,"ns"
