log2_PSME3_TPM,log2_PGP9_5_TPM
5.64129381162688,4.708352365801412
5.183484116833343,4.708352365801412
7.286065312219479,4.721563917590726
6.023699556689716,4.721255591607863
6.653239662814183,4.760247999621976
6.105062981268234,4.749968891759073
5.908758468217011,4.81163566343246
6.786675882938734,4.8632485666582665
6.591271775415171,4.889305853074597
6.459069626977671,4.8760639805947585
6.9213257931721275,4.914861469884073
6.734651247089598,4.940610430317541
5.495871908574815,4.940610430317541
6.337199952486816,4.9538267074092746
6.054180371269075,4.979377598916331
5.68614725493015,4.98569572202621
6.789623650871016,5.031246062247984
6.523667395435929,5.0052045268397185
7.047039038831071,5.0825459141885085
6.589229344037534,5.0825459141885085
4.903412303547885,5.09544913999496
6.412603902217516,5.134471868699597
5.790266547211624,5.13421630859375
5.635907815217544,5.134158817414315
4.743875171380582,5.173176820816533
5.7848805508022885,5.301958244077621
6.28669078559807,5.314771295362903
6.384561480482776,5.366416881930444
6.072173688741303,5.392223333543347
6.585885779005835,5.444144562752016
7.117056992152435,5.469642688382057
5.775943721860273,5.482545914188509
6.724991693958987,5.508665417086694
5.304018797951498,5.534467143397178
6.395333473301447,5.559965269027218
6.0649523640877465,5.585829211819557
5.5712758583055155,5.611578172253025
5.835189682362966,5.650287849672379
6.371954159419883,5.68905501827117
6.752851667695243,5.702209078881049
4.0182738107239535,5.7019582440776215
5.887214482579668,5.779377598916331
6.111918094984291,5.8441445627520165
6.940447987089037,5.8054187405493956
7.036267046012399,5.869642688382057
5.81475830078125,5.934471868699597
5.4940367446981595,5.972925986013105
6.731307682057899,5.986080046622984
6.821939629327031,6.011891223538306
6.093717674378647,6.011578172253024
6.326427959668144,6.03769767515121
4.906963136080566,6.037442115045363
6.684341951161356,6.08905501827117
6.7842376544616805,6.257052513860888
6.1388480770309695,6.295757465977823
6.914431559975315,6.321563917590726
6.391989579534616,6.289307034400202
6.305813965720377,6.347370369203629
6.234308485924877,6.3082795173891135
5.855065008468217,6.424518412928427
6.183444285093133,6.4761517924647185
5.731020586708931,6.48905501827117
6.691563275814913,6.514803978704638
6.607732858435256,6.483045614919355
4.152923720957347,6.5406679214969765
6.460652157905072,6.484089512978831
6.76900965692325,6.6183381111391135
7.102941434302064,6.631241336945565
6.023699556689716,6.630933010962702
6.672061721555206,6.657047788558468
5.012751416629264,6.669961252520162
6.090374109346948,6.708660691784274
5.648722568148985,6.773176820816532
6.819846572739003,6.74703605405746
6.579569790906923,6.811891223538307
