"","dbN.1.B","dbN.1.F","dbN.1.L","dbN.1.O","dbN.2.B","dbN.2.F","dbN.2.L","dbN.2.O","dbN.3.B","dbN.3.F","dbN.3.L","dbN.3.O","dbS.1.B","dbS.1.F","dbS.1.L","dbS.1.O","dbS.2.B","dbS.2.F","dbS.2.L","dbS.2.O","dbS.3.B","dbS.3.F","dbS.3.L","dbS.3.O","WTN.1.B","WTN.1.F","WTN.1.L","WTN.1.O","WTN.2.B","WTN.2.F","WTN.2.L","WTN.2.O","WTN.3.B","WTN.3.F","WTN.3.L","WTN.3.O","WTS.1.B","WTS.1.F","WTS.1.L","WTS.1.O","WTS.2.B","WTS.2.F","WTS.2.L","WTS.2.O","WTS.3.B","WTS.3.F","WTS.3.L"
"Porphyromonas_gingivalis",0,0,0,0,0.000370644922164566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023586495046836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_pasteri",0,0,0,0,0.000336949929240515,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0.000303254936316463,0,0,0,0,0,0,0,0,0.00114562975941775,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0
"Porphyromonas_pogonae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000741289844329133,0,0,0,0,0,0,0,0
"Prevotella_bivia",0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_bryantii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_buccalis",0,0,0,0,0.000842374823101287,0,0,0,0,0,0,0,0,0,0,0,0.000303254936316463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",0,0,0.00114562975941775,0.000168474964620257,0.000168474964620257,0,0.00131410472403801,0,0,0,0.00997371790551924,0,0,0.000134779971696206,0.000774984837253184,0.000505424893860772,0,0.00148257968865827,0.000202169957544309,0,0,0,0.000774984837253184,0,0.00148257968865827,0,0.000774984837253184,0,3.36949929240515e-05,0,0.00205539456836714,0,0.00023586495046836,0,0.0011793247523418,0,0,0,0.00212278455421524,0,0,0,0.000134779971696206,0,0,0,0.0011119347664937
"Prevotella_dentalis",0,0,0,0,0.000808679830177236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_denticola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0
"Prevotella_disiens",0,0,0,0,0,0,0,0,0,0,0.000336949929240515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_histicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000572814879708875,0,0.00185322461082283,0,0,0,0,0,0,0,0,0,0,0,0,0.000774984837253184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_intermedia",0,0,0,0,0.000808679830177236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_loescheii",0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_melaninogenica",0,0,0.000269559943392412,0.000101084978772154,0.0219354403935575,0,0.000168474964620257,0,0,0,0.000808679830177236,0,0,0,0.000471729900936721,0.000438034908012669,0.000505424893860772,0.0010445447806456,0,0,0,0,0.00023586495046836,0,0,0,0,0,0.000168474964620257,0,0.00468360401644316,0,0.000269559943392412,0,0.000539119886784824,0,0,0,0,0,0,0,0.000101084978772154,0,0.000101084978772154,0,0.000303254936316463
"Prevotella_multiformis",0,0,0,0,0.00205539456836714,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0.000404339915088618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0
"Prevotella_nanceiensis",0,0,6.7389985848103e-05,0,0.000269559943392412,0,6.7389985848103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208908956129119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_nigrescens",0,0,0,0,0.000741289844329133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oris",0,0,0,0,0.00185322461082283,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0.000336949929240515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_oulorum",0,0,0,0,0.000303254936316463,0,0,0,0,0,0,0,0,0,0,0.000101084978772154,0,0.000303254936316463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_pallens",0,0,0,0,0.000101084978772154,0,0,0,0,0,0,0,0,0,0,0,0,0.000438034908012669,0,0,0,0,0,0,6.7389985848103e-05,0,0,0,0,0,0.00101084978772154,0,0,0,6.7389985848103e-05,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_pleuritidis",0,0,0,0,0.000438034908012669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_salivae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7389985848103e-05,0,0.000269559943392412,0,0,0,0,0,0,0,0,0,0,0,0,0.00023586495046836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_shahii",0,0,0,0,0.000134779971696206,0,0,0,0,0,0,0,0,0,0,0,3.36949929240515e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202169957544309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
