NL,LP,LN,CA
0,,1.245181095,0.807198404
0.568213545,,0.856988519,0.876642909
0.89772616,,0.966846071,0.529469669
0.660432205,,1.142266885,1.099112539
0.631504035,,0.884915099,0.761774522
1.421103972,,0,0.494996135
0,,1.36455872,1.092735897
0,,1.338089222,1.116977311
0,,1.223903789,1.286814294
0,,0.319599922,1.028210444
0.564491131,,0.733899849,0.98699054
0,,0.882748387,0.57533498
0.756035516,,0.921239146,0
1.09661628,,0.34399845,0.527839215
1.117703839,,0.978439716,0.862317791
0,,0.347817194,0.921785749
0,,0.809959221,1.41352519
0,,0.402208503,0.431659725
0,,1.116067738,0
0,,1.349256904,0.555194764
0,,0,1.126081651
0,,0.754361255,0.468941081
0,,0.576152754,1.11765768
0.564131444,,0,0.956004026
0,,0,0
0,,1.104581054,0
0,,0.648951798,1.628589679
0,,0.467378643,0.649497431
0,,0.719041705,0.306040976
0,,0.506280642,0.781582748
0,,0.537409041,1.375388033
0,,0,0.512135714
0,,1.062277946,1.460213351
0.949837116,,0.544803945,1.188517521
0,,0.831098943,0.886715375
0,,1.146810347,1.418910135
0,,0.41477702,0.454766054
1.257245271,,0.42683273,0.514289458
0,,0,1.030455869
0,,0.423220144,0.444146589
1.38614438,,0.773751213,0.913435274
0,,0.372799772,0.892920655
0,,0,0.92981346
0,,0.782462017,0
0,,0.395138665,0.980690385
0,,0,0.600656996
0,,1.516070043,0.889789584
0,,1.266197472,0.837161193
0,,0.940951587,1.103080658
0,,0,0.308170237
0,,0,0.647950307
0,,0.358410581,0.571986718
0,,0,0.910273257
0,,0.636574945,0.813857986
0.67194292,,0.828716905,0.332408108
0.6257868,,0,0.731411738
0,,0.642840716,0.864120914
0,,1.002261158,1.121526548
0,,0.547863712,0.312884384
0,,1.207777873,0
0.652791281,,0,0.50359826
0,,1.23501487,0.977896037
0,,1.094936954,1.145609797
0,,1.049775698,0.962297657
0,,1.786914834,0.816620159
1.411997203,,0.551707103,1.521082565
0,,1.193093717,0.919603489
0,,0,0.704883688
0,,0.65690165,0.470581853
0.802754118,,0.560624794,0.452546872
0,,0.636994329,1.360012531
0,,1.175153151,0.525624642
0,,1.025822548,1.139995589
0,,1.329340232,0.690418394
0,,1.110689893,1.445321991
0,,0,0.685632809
1.692603138,,0.373588799,0.394223393
0.593061592,,1.796567271,0.550927783
1.004449285,,1.153552611,0.543862515
0,,0.828838088,0.885570112
0,,0,0.595218408
0,,1.026741754,0.800517452
0.966879737,,0,1.136104576
0.827676272,,0,0.870787985
0.616308831,,0.517335993,0
0,,0,0.731878082
0,,1.340479316,0.671708628
1.256705485,,1.161219065,0.752813521
0,,0.859049059,0.859362972
0,,0.430659106,1.17852953
1.142315319,,,0
0,,,0.787923196
0,,,1.480188732
0,,,1.314898099
0.810444412,,,0.698337286
0,,,0.385271353
0,,,0.889156046
0,,,1.227356091
1.179815883,,,0.736131644
0,,,1.354121521
0,,,1.13533945
0,,,1.182371849
1.260495012,,,1.74290596
0,,,0.452130626
0,,,1.153300231
0,,,1.220408908
0,,,0.876414823
