NL,LP,LN,CA
,,,0.616230439
,,,1.21863272
,,,0.565211919
,,,0.399214319
,,,0
,,,1.046767556
,,,0
,,,0
,,,0
,,,0.48150331
,,,1.01757299
,,,0
,,,0
,,,0
,,,0.782569388
,,,1.239180836
,,,0
,,,1.121666099
,,,0
,,,0
,,,0.873949047
,,,0.95607796
,,,0.812763278
,,,0
,,,0.878530917
,,,1.046287996
,,,1.371742723
,,,0.834477893
,,,1.242559821
,,,0
,,,0
,,,1.040511177
,,,0
,,,0.715791999
,,,0
,,,0
,,,0
,,,0.882873083
,,,0
,,,1.066684613
,,,0
,,,0
,,,0
,,,0.550990045
,,,0
,,,0.512806777
,,,0
,,,0.803570718
,,,0
,,,0.755496513
,,,0.928337849
,,,1.538366242
,,,0
,,,0
,,,0.408538545
,,,1.79086717
,,,0.666873486
,,,0
,,,0.588106844
,,,1.265892682
,,,0
,,,0.750681445
,,,0
,,,0.715524797
,,,0
,,,0
,,,0.545504586
,,,0.89527799
,,,0
,,,0
,,,0
,,,0.700374727
,,,0.510825624
,,,0.896307061
,,,0
,,,0
,,,0.593641619
,,,1.162917112
,,,1.410004841
,,,0.803979675
,,,0.945556422
,,,0
,,,0
,,,0
,,,0
,,,0.766740405
,,,0
,,,0
,,,1.005290812
,,,0.475183632
,,,0
,,,0
,,,0.719446706
,,,1.192014438
,,,0
,,,0.579689668
,,,1.262944796
,,,0
,,,0.99003621
,,,0
,,,0.43363699
,,,0
,,,1.198240135
,,,0
,,,0
,,,1.084870209
,,,0.786585679
,,,0.988444636
,,,0
,,,0.755197414
,,,0.921922508
,,,1.136032797
,,,0
,,,0.799168271
,,,0
,,,0
,,,0.88088244
,,,0.575062918
,,,0.736840865
,,,0.486543718
,,,0
,,,0.622687637
,,,0
,,,0.865134961
,,,0.526304022
,,,0
,,,1.309589328
,,,0
,,,0.635863302
,,,0
,,,0.682470835
,,,0
,,,1.15907609
,,,1.07534331
,,,0
,,,0.678333543
,,,1.57453253
,,,0.562048015
,,,0
,,,0
,,,1.40868022
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0.651733492
,,,1.399181463
,,,0.7457554
,,,0.849245448
,,,0.821561349
