"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","6/188","68/4955",0.0882352941176471,2.32556320400501,2.18558688894885,0.0430489349715195,0.298113874677773,0.266223676797555,"Il1b/Gna11/Pik3r2/C1qa/Jun/Tnfrsf1a",6
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis","9/188","124/4955",0.0725806451612903,1.9129632807138,2.04446643176867,0.0449296564933793,0.303549142650392,0.271077516712301,"H2-K1/H2-Q2/Irf7/Creb3/Rb1/Pik3r2/Jun/H2-T23/Ywhag",9
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction","5/188","53/4955",0.0943396226415094,2.48645122440787,2.16041057383913,0.0491788123419176,0.32434597663598,0.289649646625329,"Calm1/Fosb/Creb3/Jun/Arc",5
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis","3/188","23/4955",0.130434782608696,3.43778908418131,2.32692755192727,0.0545007980752852,0.351086536438465,0.313529682930037,"Tfrc/Trf/Lpcat3",3
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","4/188","40/4955",0.1,2.63563829787234,2.06248051935354,0.0634256865127567,0.398803587001693,0.356142287461136,"Hspd1/Hspa8/Hspa1b/Il1b",4
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","6/188","76/4955",0.0789473684210526,2.08076707726764,1.88541884437499,0.0673175057890151,0.398803587001693,0.356142287461136,"Cd36/Ppp2r3a/Creb3/Prkaa2/Pik3r2/Scd1",6
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","6/188","76/4955",0.0789473684210526,2.08076707726764,1.88541884437499,0.0673175057890151,0.398803587001693,0.356142287461136,"Il1b/Creb3/Ptgs2/Pik3r2/Jun/Tnfrsf1a",6
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","17/188","304/4955",0.0559210526315789,1.47387667973124,1.69341463480179,0.0676670346176158,0.398803587001693,0.356142287461136,"Il1b/mt-Co2/Calm1/mt-Atp6/Rab39b/mt-Nd4/Ptgs2/Ubb/mt-Atp8/Tubb2a/Dnah10/mt-Nd1/Ube2g2/mt-Cytb/Hspa5/mt-Co3/Tnfrsf1a",17
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome","8/188","115/4955",0.0695652173913043,1.83348751156337,1.79580710784085,0.0695448131631142,0.401331525962138,0.35839980467833,"H2-K1/H2-Q2/Cd36/Thbs1/Tfrc/Atp6v0c/Tubb2a/H2-T23",8
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","10/188","157/4955",0.0636942675159236,1.67875050819894,1.71618547485537,0.0737589313956356,0.416963755032471,0.372359804038118,"H2-K1/H2-Q2/Xpo1/Creb3/Rb1/Pik3r2/Jun/H2-T23/B2m/Tnfrsf1a",10
