"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map05166","map05166","Human T-cell leukemia virus 1 infection",191,8,0,0,0,-1.5322372256056,0.455256087817692,1.14353021063583,-1.73803306194962,0.0466,0.132630769230769
"map04064","map04064","NF-kappa B signaling pathway",98,5,0,0,0,-1.60209846069155,0.35939446965663,1.1311500542313,-1.73406960730878,0.0456,0.132630769230769
"map00040","map00040","Pentose and glucuronate interconversions",90,36,3,0,3,-1.04491044855464,0.949994887719154,1.16319455045732,-1.71502293875902,0.0462,0.132630769230769
"map04110","map04110","Cell cycle",133,3,0,0,0,-1.70192588679353,0.290753516030802,1.16338812873262,-1.71282425323966,0.0488,0.13542
"map04068","map04068","FoxO signaling pathway",103,6,2,2,0,2.39770177362674,0.382330882855403,1.17877390776431,1.70971793445423,0.0408,0.124875
"map04211","map04211","Longevity regulating pathway",68,4,1,1,0,2.33631715295429,0.36570546601033,1.15733257259082,1.70271859067487,0.0418,0.124875
"map05017","map05017","Spinocerebellar ataxia",116,5,0,0,0,-1.60229200418006,0.350590849612608,1.14777229299162,-1.70145495384155,0.0484,0.13542
"map04721","map04721","Synaptic vesicle cycle",55,3,0,0,0,-1.70192588679353,0.273834697964774,1.16853224727234,-1.6908053580637,0.0462,0.132630769230769
"map04966","map04966","Collecting duct acid secretion",17,3,0,0,0,-1.70192588679353,0.257836228738297,1.162204265515,-1.68624584651942,0.0508,0.138659016393443
"map01523","map01523","Antifolate resistance",26,5,0,0,0,-1.60743575741926,0.348405190652011,1.16089384349043,-1.68477157410939,0.0494,0.135952066115702
"map00630","map00630","Glyoxylate and dicarboxylate metabolism",110,53,4,3,1,3.04792156944161,1.14699638295406,1.15051349183867,1.65224067337935,0.0464,0.132630769230769
"map03030","map03030","DNA replication",60,18,6,1,5,-1.2615930522428,0.657240290252916,1.17184133553171,-1.63745149135319,0.0528,0.142946341463415
"map05416","map05416","Viral myocarditis",47,5,1,0,1,-1.45884872189414,0.383670939733404,1.13623276347928,-1.6216040593527,0.0552,0.148238709677419
"map04974","map04974","Protein digestion and absorption",66,3,0,0,0,2.09407451290125,0.226159606808861,1.15903616075294,1.61161055137309,0.048,0.13542
"map04010","map04010","MAPK signaling pathway",243,7,0,0,0,-1.43968744707234,0.431981036905551,1.16261806454708,-1.60987390532851,0.0562,0.1497168
"map04390","map04390","Hippo signaling pathway",115,3,1,0,1,-1.51674140565396,0.28740805809695,1.15340499852119,-1.56419424752282,0.0628,0.163426153846154
"map04666","map04666","Fc gamma R-mediated phagocytosis",64,3,0,0,0,-1.47992619217604,0.277014460657055,1.13128461594266,-1.55304918680353,0.0632,0.163426153846154
"map05202","map05202","Transcriptional misregulation in cancer",162,5,0,0,0,-1.44707197880154,0.361642956909903,1.16563952049737,-1.55169321553174,0.063,0.163426153846154
"map04921","map04921","Oxytocin signaling pathway",112,5,1,0,1,-1.38929727523111,0.402386761073079,1.15575883239359,-1.55022309679745,0.0656,0.165490909090909
"map00620","map00620","Pyruvate metabolism",133,75,9,5,4,3.14769012616681,1.37768301880164,1.1438912545044,1.54735609735214,0.0636,0.163426153846154
"map01310","map01310","Nitrogen cycle",39,17,1,1,0,2.44766052943061,0.696019367858021,1.15256458951768,1.51977700642843,0.0638,0.163426153846154
"map04612","map04612","Antigen processing and presentation",47,8,1,0,1,-1.31240392367599,0.434888905942904,1.15408092539187,-1.51401239824286,0.0704,0.171604379562044
"map04625","map04625","C-type lectin receptor signaling pathway",82,6,0,0,0,-1.3353166482486,0.384328931769886,1.1558099758006,-1.48782725190387,0.0706,0.171604379562044
"map04371","map04371","Apelin signaling pathway",105,6,1,0,1,-1.27588071446067,0.416465624085713,1.13828226328879,-1.48675455388082,0.0706,0.171604379562044
"map00643","map00643","Styrene degradation",25,6,0,0,0,2.0744739589456,0.381363675458104,1.14128739428325,1.48350914236707,0.0678,0.169754887218045
"map05321","map05321","Inflammatory bowel disease",54,4,0,0,0,-1.39567723070833,0.318156704294749,1.15884796365316,-1.47891180617031,0.0744,0.175880281690141
"map00280","map00280","Valine, leucine and isoleucine degradation",71,26,1,1,0,2.47824783093619,0.802701668356619,1.1379124235507,1.47247374042306,0.0706,0.171604379562044
"map05332","map05332","Graft-versus-host disease",22,4,0,0,0,-1.39567723070833,0.28882852268785,1.14553957057488,-1.47049110887617,0.0728,0.174405755395683
"map04114","map04114","Oocyte meiosis",80,5,0,0,0,-1.33400024372048,0.345131552641616,1.14596374315971,-1.46525734900854,0.0796,0.181553424657534
"map00450","map00450","Selenocompound metabolism",36,19,1,1,0,2.37881782853061,0.663419085750512,1.17520225667992,1.45966256704297,0.0656,0.165490909090909
"map05417","map05417","Lipid and atherosclerosis",160,17,2,1,1,-1.06175743616961,0.623789091500481,1.1596285401115,-1.45352280438701,0.075,0.175880281690141
"map00640","map00640","Propanoate metabolism",102,50,4,2,2,2.80682080741087,1.13955730633225,1.15104334041394,1.44848021142196,0.072,0.173739130434783
"map00340","map00340","Histidine metabolism",47,23,1,1,0,2.43133582894339,0.770274021157734,1.1507899539229,1.44341006985967,0.0748,0.175880281690141
"map04011","map04011","MAPK signaling pathway - yeast",91,4,0,0,0,-1.3409399785884,0.317421114744246,1.1623075343526,-1.4267833979553,0.0784,0.1813
"map00400","map00400","Phenylalanine, tyrosine and tryptophan biosynthesis",74,35,7,2,5,-0.729710862308246,0.920402819964483,1.15745802352697,-1.42563587510893,0.0762,0.177444755244755
"map00010","map00010","Glycolysis / Gluconeogenesis",107,64,7,6,1,2.9275185951136,1.2870544501596,1.16351415559694,1.40992194814541,0.0836,0.185592
"map04152","map04152","AMPK signaling pathway",85,9,2,1,1,-1.15904155971384,0.461815064463971,1.15021188996617,-1.40918089816085,0.0832,0.185592
"map04151","map04151","PI3K-Akt signaling pathway",268,12,2,1,1,-1.06784960270612,0.560812013060587,1.15620268218575,-1.40862985431567,0.0816,0.18405
"map00627","map00627","Aminobenzoate degradation",89,11,1,1,0,2.12780380063375,0.50758670122216,1.15377234332765,1.40427798324464,0.079,0.181427586206897
"map04144","map04144","Endocytosis",169,8,0,0,0,-1.16135999665392,0.441672397238548,1.16328454052637,-1.37802260585971,0.0882,0.190718181818182
"map04015","map04015","Rap1 signaling pathway",162,7,1,0,1,-1.18743445597124,0.405001960583421,1.15879993423318,-1.37421169048342,0.0858,0.187969736842105
"map05170","map05170","Human immunodeficiency virus 1 infection",163,13,0,0,0,-1.01840104489851,0.561424077676962,1.15250242890743,-1.37077812848789,0.0874,0.190223529411765
"map05207","map05207","Chemical carcinogenesis - receptor activation",129,5,0,0,0,1.9498099366158,0.374297268670147,1.14988197648621,1.37015163309201,0.0818,0.18405
"map00740","map00740","Riboflavin metabolism",54,21,1,0,1,-0.843005898195203,0.727726903147067,1.15434277768312,-1.36071609898655,0.0856,0.187969736842105
"map04218","map04218","Cellular senescence",117,6,0,0,0,-1.15389239332856,0.39639488007835,1.14158833873038,-1.35800903076065,0.089,0.191206451612903
"map04260","map04260","Cardiac muscle contraction",67,12,0,0,0,-1.00486458771169,0.557866986505637,1.15424601440273,-1.35389817657371,0.0906,0.193396153846154
"map01502","map01502","Vancomycin resistance",22,11,0,0,0,-1.01867883663343,0.507934735925458,1.14226592384532,-1.33647825842488,0.096,0.202329113924051
"map00520","map00520","Amino sugar and nucleotide sugar metabolism",157,81,5,3,2,-0.132618114127191,1.4143612272513,1.16018410292229,-1.33339125875103,0.0952,0.20192101910828
"map04137","map04137","Mitophagy - animal",85,12,0,0,0,-0.985839814844166,0.534384606728963,1.1627421853996,-1.30744754999206,0.0992,0.207758490566038
"map05161","map05161","Hepatitis B",132,5,0,0,0,-1.09288217157689,0.36445096350434,1.139162734413,-1.27930197421019,0.1028,0.210831901840491
"map00071","map00071","Fatty acid degradation",59,21,0,0,0,2.19799087471419,0.727749458604095,1.15134704816622,1.27697501674389,0.1008,0.20979
"map03410","map03410","Base excision repair",52,17,2,1,1,2.1050814597613,0.628175358578281,1.16200285982412,1.27100040132996,0.1026,0.210831901840491
"map00930","map00930","Caprolactam degradation",22,5,0,0,0,1.78358241729196,0.349209075286621,1.14353277180459,1.25433514226424,0.1032,0.210831901840491
"map04714","map04714","Thermogenesis",188,50,1,0,1,-0.328928608016486,1.11270955618827,1.15579997991743,-1.24730765638857,0.1062,0.214330909090909
"map00333","map00333","Prodigiosin biosynthesis",21,3,0,0,0,1.72627806327652,0.295545813953936,1.15841845730113,1.23507376829603,0.106,0.214330909090909
"map04722","map04722","Neurotrophin signaling pathway",90,6,0,0,0,-1.01237322475886,0.394653062600114,1.14247756218033,-1.23155704228779,0.1144,0.225415384615385
"map01212","map01212","Fatty acid metabolism",84,30,3,0,3,-0.580357915537872,0.851609824442057,1.16746928036823,-1.22655710437903,0.1106,0.221866265060241
"map00130","map00130","Ubiquinone and other terpenoid-quinone biosynthesis",59,31,2,2,0,2.31713223974201,0.882605511864241,1.17434369528078,1.22155611993538,0.1122,0.223189285714286
"map00622","map00622","Xylene degradation",34,7,1,0,1,-0.902085306618153,0.45773731035802,1.12687562229368,-1.20671934867874,0.1188,0.231347368421053
"map00982","map00982","Drug metabolism - cytochrome P450",25,7,0,0,0,1.82897874064972,0.428932868932274,1.16088117143229,1.20601996670346,0.1126,0.223189285714286
"map00720","map00720","Other carbon fixation pathways",121,51,5,2,3,2.5246318254061,1.14778822514748,1.14763396841204,1.19972363850796,0.1166,0.228398823529412
"map05162","map05162","Measles",117,7,0,0,0,-0.936917969952082,0.42933228982068,1.14883462605124,-1.18924885165484,0.1202,0.231367630057803
"map04360","map04360","Axon guidance",128,4,0,0,0,-1.03009497962786,0.346419685413471,1.16695751516948,-1.17957564619772,0.1218,0.232529142857143
"map03272","map03272","Virion - Hepatitis viruses",40,4,0,0,0,-1.04481182621131,0.308804175736999,1.14756091412708,-1.17955917222744,0.1202,0.231367630057803
"map05206","map05206","MicroRNAs in cancer",245,5,0,0,0,-0.966872429087787,0.381850482182385,1.15830441556477,-1.16439417233211,0.123,0.232721590909091
"map04931","map04931","Insulin resistance",74,5,2,1,1,-0.996618153653288,0.342684865324424,1.15843369867866,-1.15613264747508,0.1294,0.243447457627119
"map04926","map04926","Relaxin signaling pathway",96,4,0,0,0,-1.00015392903962,0.332765243641917,1.16184775081997,-1.1472408254359,0.1322,0.24663956043956
"map03320","map03320","PPAR signaling pathway",63,16,1,1,0,-0.706430789160661,0.622944511937043,1.1677152445769,-1.13844133428212,0.1222,0.232529142857143
"map04148","map04148","Efferocytosis",131,8,0,0,0,-0.832745103862443,0.46362525841465,1.15403502052236,-1.12333710782044,0.1344,0.24663956043956
"map04664","map04664","Fc epsilon RI signaling pathway",47,4,0,0,0,-1.00015392903962,0.304610457284607,1.17374520657015,-1.11162489015562,0.1372,0.249659016393443
"map00830","map00830","Retinol metabolism",50,8,0,0,0,1.73473173069817,0.435387168781946,1.17066810752901,1.10991710934948,0.1348,0.24663956043956
"map04964","map04964","Proximal tubule bicarbonate reclamation",14,4,1,1,0,1.5554280442375,0.308118792244748,1.13469990699726,1.09924152130539,0.1326,0.24663956043956
"map04146","map04146","Peroxisome",74,16,1,1,0,1.90456023743493,0.651483555384945,1.14271210654103,1.09658126038677,0.1336,0.24663956043956
"map04066","map04066","HIF-1 signaling pathway",76,14,2,1,1,-0.650739491165265,0.5770574731836,1.14564952089706,-1.07170381687716,0.1434,0.259522826086957
"map00230","map00230","Purine metabolism",223,81,12,6,6,0.258365684912939,1.44963494425418,1.14205394695066,-1.04309368442882,0.1446,0.26028
"map00900","map00900","Terpenoid backbone biosynthesis",63,27,5,4,1,1.99254816912109,0.812077967226489,1.13754974763118,1.03773061736667,0.1494,0.267474193548387
