"module","species","r","p_value","significance"
"MEturquoise","Veillonella_atypica",-0.03,0.83,""
"MEturquoise","Planktothrix_rubescens",0.1,0.45,""
"MEturquoise","Rothia_mucilaginosa",-0.089,0.51,""
"MEturquoise","Prevotella_veroralis",-0.076,0.58,""
"MEturquoise","Candidatus_Nanosynbacter_sp_HMT352",-0.067,0.63,""
"MEturquoise","Fusobacterium_periodonticum",-0.044,0.75,""
"MEturquoise","Fusobacterium_pseudoperiodonticum",-0.11,0.4,""
"MEturquoise","Streptococcus_sp_FDAARGOS_192",-0.055,0.69,""
"MEturquoise","Neisseria_mucosa",0.014,0.92,""
"MEturquoise","Leptotrichia_sp_oral_taxon_221",0.029,0.83,""
"MEturquoise","Filifactor_alocis",-0.13,0.35,""
"MEturquoise","Prevotella_intermedia",-0.11,0.44,""
"MEturquoise","Streptococcus_pneumoniae",-0.11,0.41,""
"MEturquoise","Parvimonas_micra",-0.12,0.39,""
"MEblack","Prevotella_sp_oral_taxon_299",-0.067,0.62,""
"MEblack","Streptococcus_sp_116_D4",0.24,0.078,""
"MEblack","Lancefieldella_parvula",0.062,0.65,""
"MEblack","Prevotella_jejuni",-0.028,0.84,""
"MEblack","Schaalia_odontolytica",-0.06,0.66,""
"MEblack","Campylobacter_concisus",-0.12,0.36,""
"MEblack","Erwinia_sp_Ejp617",0.19,0.16,""
"MEblack","Collinsella_aerofaciens",-0.11,0.43,""
"MEblack","Prevotella_denticola",-0.21,0.12,""
"MEblack","Kingella_oralis",-0.2,0.14,""
"MEblack","Schaalia_meyeri",-0.067,0.63,""
"MEblack","Pantoea_sp_CCBC3_3_1",0.49,0.00012,"***"
"MEblack","Streptococcus_mitis",0.26,0.055,""
"MEblack","Schaalia_cardiffensis",0.15,0.27,""
"MEblack","Nanosynbacter_sp_HMT_352",-0.071,0.6,""
"MEblack","Candidatus_Methylopumilus_turicensis",-0.11,0.43,""
"MEblack","Streptococcus_sp_1643",0.26,0.056,""
"MEblack","Porphyromonas_endodontalis",0.038,0.78,""
"MEblack","Streptococcus_oralis",0.28,0.036,"*"
"MEblack","Prevotella_scopos",0.01,0.94,""
"MEblack","Desulfobulbus_oralis",0.013,0.93,""
"MEblack","Tannerella_forsythia",0.14,0.31,""
"MEblack","Blattabacterium_punctulatus",0.14,0.3,""
"MEblack","Streptococcus_pseudopneumoniae",0.2,0.13,""
"MEblack","Microbacterium_paludicola",-0.1,0.44,""
"MEblack","Prevotella_histicola",0.065,0.63,""
"MEblack","Shewanella_loihica",-0.12,0.4,""
"MEblack","Olsenella_uli",-0.043,0.75,""
"MEblack","Mogibacterium_diversum",0.093,0.5,""
"MEblack","Porphyromonas_gingivalis",0.071,0.6,""
"MEblack","Prevotella_multiformis",-0.056,0.68,""
"MEblack","Lachnoanaerobaculum_umeaense",-0.076,0.58,""
"MEblack","Veillonella_atypica",-0.035,0.8,""
"MEblack","Planktothrix_rubescens",0.12,0.37,""
"MEblack","Rothia_mucilaginosa",-0.11,0.44,""
"MEblack","Prevotella_veroralis",0.035,0.8,""
"MEblack","Candidatus_Nanosynbacter_sp_HMT352",-0.13,0.35,""
"MEblack","Fusobacterium_periodonticum",0.12,0.39,""
"MEblack","Fusobacterium_pseudoperiodonticum",0.061,0.66,""
"MEblack","Streptococcus_sp_FDAARGOS_192",-0.078,0.57,""
"MEblack","Neisseria_mucosa",-0.18,0.18,""
"MEblack","Leptotrichia_sp_oral_taxon_221",0.031,0.82,""
"MEblack","Filifactor_alocis",0.12,0.37,""
"MEblack","Prevotella_intermedia",0.044,0.75,""
"MEblack","Streptococcus_pneumoniae",0.24,0.07,""
"MEblack","Parvimonas_micra",0.064,0.64,""
"MEmagenta","Prevotella_sp_oral_taxon_299",-0.02,0.89,""
"MEmagenta","Streptococcus_sp_116_D4",0.025,0.86,""
"MEmagenta","Lancefieldella_parvula",0.022,0.87,""
"MEmagenta","Prevotella_jejuni",-0.026,0.85,""
"MEmagenta","Schaalia_odontolytica",0.029,0.83,""
"MEmagenta","Campylobacter_concisus",-0.093,0.5,""
"MEmagenta","Erwinia_sp_Ejp617",0.031,0.82,""
"MEmagenta","Collinsella_aerofaciens",-0.074,0.59,""
"MEmagenta","Prevotella_denticola",-0.12,0.38,""
"MEmagenta","Kingella_oralis",-0.26,0.057,""
"MEmagenta","Schaalia_meyeri",-0.022,0.87,""
"MEmagenta","Pantoea_sp_CCBC3_3_1",0.15,0.27,""
"MEmagenta","Streptococcus_mitis",0.1,0.45,""
"MEmagenta","Schaalia_cardiffensis",0.2,0.14,""
"MEmagenta","Nanosynbacter_sp_HMT_352",0.015,0.91,""
"MEmagenta","Candidatus_Methylopumilus_turicensis",-0.077,0.57,""
"MEmagenta","Streptococcus_sp_1643",0.31,0.02,"*"
"MEmagenta","Porphyromonas_endodontalis",-0.25,0.062,""
"MEmagenta","Streptococcus_oralis",0.32,0.015,"*"
"MEmagenta","Prevotella_scopos",-0.099,0.47,""
"MEmagenta","Desulfobulbus_oralis",-0.15,0.28,""
"MEmagenta","Tannerella_forsythia",-0.05,0.72,""
"MEmagenta","Blattabacterium_punctulatus",-0.097,0.48,""
"MEmagenta","Streptococcus_pseudopneumoniae",-0.01,0.94,""
"MEmagenta","Microbacterium_paludicola",0.026,0.85,""
"MEmagenta","Prevotella_histicola",-0.011,0.94,""
"MEmagenta","Shewanella_loihica",-0.051,0.71,""
"MEmagenta","Olsenella_uli",-0.087,0.52,""
"MEmagenta","Mogibacterium_diversum",0.08,0.56,""
"MEmagenta","Porphyromonas_gingivalis",-0.081,0.56,""
"MEmagenta","Prevotella_multiformis",-0.01,0.94,""
"MEmagenta","Lachnoanaerobaculum_umeaense",-0.033,0.81,""
"MEmagenta","Veillonella_atypica",-0.017,0.9,""
"MEmagenta","Planktothrix_rubescens",-0.046,0.74,""
"MEmagenta","Rothia_mucilaginosa",0.088,0.52,""
"MEmagenta","Prevotella_veroralis",-0.0019,0.99,""
"MEmagenta","Candidatus_Nanosynbacter_sp_HMT352",-0.058,0.67,""
"MEmagenta","Fusobacterium_periodonticum",0.013,0.92,""
"MEmagenta","Fusobacterium_pseudoperiodonticum",-0.018,0.9,""
"MEmagenta","Streptococcus_sp_FDAARGOS_192",0.092,0.5,""
"MEmagenta","Neisseria_mucosa",-0.029,0.83,""
"MEmagenta","Leptotrichia_sp_oral_taxon_221",0.059,0.67,""
"MEmagenta","Filifactor_alocis",0.061,0.65,""
"MEmagenta","Prevotella_intermedia",-0.041,0.76,""
"MEmagenta","Streptococcus_pneumoniae",0.013,0.92,""
"MEmagenta","Parvimonas_micra",0.15,0.29,""
"MEred","Prevotella_sp_oral_taxon_299",0.24,0.078,""
"MEred","Streptococcus_sp_116_D4",-0.078,0.57,""
"MEred","Lancefieldella_parvula",0.13,0.34,""
"MEred","Prevotella_jejuni",0.14,0.29,""
"MEred","Schaalia_odontolytica",0.26,0.049,"*"
"MEred","Campylobacter_concisus",0.088,0.52,""
"MEred","Erwinia_sp_Ejp617",0.075,0.58,""
"MEred","Collinsella_aerofaciens",-0.032,0.81,""
"MEred","Prevotella_denticola",-0.13,0.33,""
"MEred","Kingella_oralis",-0.26,0.048,"*"
"MEred","Schaalia_meyeri",0.18,0.18,""
"MEred","Pantoea_sp_CCBC3_3_1",0.008,0.95,""
"MEred","Streptococcus_mitis",-0.062,0.65,""
"MEred","Schaalia_cardiffensis",0.21,0.13,""
"MEred","Nanosynbacter_sp_HMT_352",0.33,0.014,"*"
"MEred","Candidatus_Methylopumilus_turicensis",0.049,0.72,""
"MEred","Streptococcus_sp_1643",0.22,0.099,""
"MEred","Porphyromonas_endodontalis",-0.22,0.1,""
"MEred","Streptococcus_oralis",0.22,0.1,""
"MEred","Prevotella_scopos",0.13,0.33,""
"MEred","Desulfobulbus_oralis",-0.1,0.44,""
"MEred","Tannerella_forsythia",-0.04,0.77,""
"MEred","Blattabacterium_punctulatus",-0.2,0.14,""
"MEred","Streptococcus_pseudopneumoniae",-0.073,0.59,""
"MEred","Microbacterium_paludicola",0.17,0.21,""
"MEred","Prevotella_histicola",0.048,0.72,""
"MEred","Shewanella_loihica",0.25,0.062,""
"MEred","Olsenella_uli",-0.026,0.85,""
"MEred","Mogibacterium_diversum",0.19,0.15,""
"MEred","Porphyromonas_gingivalis",-0.021,0.88,""
"MEred","Prevotella_multiformis",-0.036,0.79,""
