"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map05162","map05162","Measles",117,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05163","map05163","Human cytomegalovirus infection",192,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05164","map05164","Influenza A",128,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05165","map05165","Human papillomavirus infection",231,2,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05166","map05166","Human T-cell leukemia virus 1 infection",191,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05167","map05167","Kaposi sarcoma-associated herpesvirus infection",169,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05168","map05168","Herpes simplex virus 1 infection",149,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05169","map05169","Epstein-Barr virus infection",172,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05170","map05170","Human immunodeficiency virus 1 infection",163,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05171","map05171","Coronavirus disease - COVID-19",219,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05200","map05200","Pathways in cancer",417,2,2,0,2,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05202","map05202","Transcriptional misregulation in cancer",162,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05203","map05203","Viral carcinogenesis",174,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05204","map05204","Chemical carcinogenesis - DNA adducts",29,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05205","map05205","Proteoglycans in cancer",167,2,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05206","map05206","MicroRNAs in cancer",245,2,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05207","map05207","Chemical carcinogenesis - receptor activation",129,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05210","map05210","Colorectal cancer",72,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05211","map05211","Renal cell carcinoma",56,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05212","map05212","Pancreatic cancer",63,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05213","map05213","Endometrial cancer",45,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05214","map05214","Glioma",54,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05215","map05215","Prostate cancer",81,1,1,0,1,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05216","map05216","Thyroid cancer",34,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05217","map05217","Basal cell carcinoma",48,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05218","map05218","Melanoma",50,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05219","map05219","Bladder cancer",38,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05220","map05220","Chronic myeloid leukemia",63,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05221","map05221","Acute myeloid leukemia",57,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05222","map05222","Small cell lung cancer",74,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05223","map05223","Non-small cell lung cancer",60,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05224","map05224","Breast cancer",105,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05225","map05225","Hepatocellular carcinoma",116,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05226","map05226","Gastric cancer",108,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05231","map05231","Choline metabolism in cancer",61,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05235","map05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",73,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
