"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031625","MF","GO:0031625","ubiquitin protein ligase binding","8/117","299/18432",0.000645920987246913,0.0223136341048934,0.0179250800288617,"TUBA1B/SLC25A5/RPL5/TUBB/ACTG1/HSPD1/PA2G4/UBE2L6",8
"GO:0043548","MF","GO:0043548","phosphatidylinositol 3-kinase binding","3/117","30/18432",0.000893069000948183,0.0252860061158504,0.0203128580986056,"CORO1A/GSN/AXL",3
"GO:0140297","MF","GO:0140297","DNA-binding transcription factor binding","10/117","476/18432",0.00091067567185487,0.0252860061158504,0.0203128580986056,"FBP1/NPM1/YWHAH/HMGB1/PARK7/PTMA/APEX1/ACTB/PHB2/HMGB2",10
"GO:0044389","MF","GO:0044389","ubiquitin-like protein ligase binding","8/117","318/18432",0.000962866087088761,0.0252860061158504,0.0203128580986056,"TUBA1B/SLC25A5/RPL5/TUBB/ACTG1/HSPD1/PA2G4/UBE2L6",8
"GO:0003697","MF","GO:0003697","single-stranded DNA binding","5/117","124/18432",0.00116785084987933,0.0252860061158504,0.0203128580986056,"HMGB1/HSPD1/HNRNPA1/HMGB2/SUB1",5
"GO:0051082","MF","GO:0051082","unfolded protein binding","5/117","124/18432",0.00116785084987933,0.0252860061158504,0.0203128580986056,"NPM1/PPIA/HSPD1/PPIB/PFDN2",5
"GO:0033218","MF","GO:0033218","amide binding","9/117","408/18432",0.00117625059065663,0.0252860061158504,0.0203128580986056,"PPIA/CD1A/PPIB/HLA-DQB1/PHB2/CD1C/PFDN2/TAP1/VDAC1",9
"GO:0043022","MF","GO:0043022","ribosome binding","4/117","73/18432",0.00119775818443502,0.0252860061158504,0.0203128580986056,"C1QBP/RPSA/EIF3K/SERBP1",4
"GO:0030957","MF","GO:0030957","Tat protein binding","2/117","10/18432",0.00173890739983887,0.0320071013812041,0.0257120759017983,"NPM1/ACTB",2
"GO:0071723","MF","GO:0071723","lipopeptide binding","2/117","10/18432",0.00173890739983887,0.0320071013812041,0.0257120759017983,"CD1A/CD1C",2
"GO:0061629","MF","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","8/117","350/18432",0.00176881349738233,0.0320071013812041,0.0257120759017983,"FBP1/NPM1/YWHAH/HMGB1/PARK7/APEX1/ACTB/PHB2",8
"GO:0031492","MF","GO:0031492","nucleosomal DNA binding","3/117","40/18432",0.00207536529917866,0.035847218803995,0.0287969347732924,"HMGN2/ACTB/HMGN1",3
"GO:0016504","MF","GO:0016504","peptidase activator activity","3/117","45/18432",0.00291293383365338,0.0452475090844607,0.0363484144999823,"PSME2/CTSH/PSME1",3
"GO:0061133","MF","GO:0061133","endopeptidase activator activity","2/117","13/18432",0.0029768098081882,0.0452475090844607,0.0363484144999823,"PSME2/PSME1",2
"GO:0099186","MF","GO:0099186","structural constituent of postsynapse","2/117","13/18432",0.0029768098081882,0.0452475090844607,0.0363484144999823,"ACTG1/ACTB",2
"GO:0000287","MF","GO:0000287","magnesium ion binding","6/117","225/18432",0.00314374230445326,0.04594700291124,0.0369103347486415,"PPA1/IDH2/ENO1/RAN/NME1/DUT",6
"GO:0032036","MF","GO:0032036","myosin heavy chain binding","2/117","14/18432",0.00345857467586255,0.0469377991724203,0.0377062652631631,"CORO1A/AXL",2
"GO:0043023","MF","GO:0043023","ribosomal large subunit binding","2/117","14/18432",0.00345857467586255,0.0469377991724203,0.0377062652631631,"NPM1/RBM3",2
